"SKU","Product Name","Smell Group","Smell Subgroup","Smell Head","Smell Heart","Smell Base","Colour","hue","value","chroma","Edition"
"10125DE-XS",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"101266DE-L",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101266DE-M",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101266DE-S",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101266FR-L",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101266FR-M",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101266FR-S",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101266FR-XS",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101266IT-L",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101266IT-M",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101266IT-S",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101266IT-XS",Fresh Lychee,"""Fresh""","""Fruity""","""Citrus""","""Litchee""","""White Musk""","""Coral""","7.5R","""7""","""8""","""Classic"""
"101267DE-L",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101267DE-M",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101267DE-S",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101267FR-L",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101267FR-M",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101267FR-S",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101267FR-XS",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101267IT-L",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101267IT-M",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101267IT-S",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101267IT-XS",Cozy Fireplace,"""Oriental""","""Gourmand""","""Citrus""","""White Sea, White Flowers""","""Vanilla, White Musks""","""White""",N10,"""0""","""10""","""Classic"""
"101268DE-L",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
"101268DE-M",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
"101268DE-S",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
"101268FR-L",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
"101268FR-M",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
"101268FR-S",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
